image_id,label
Test_0,rust
Test_1,rust
Test_2,scab
Test_3,healthy
Test_4,rust
Test_5,scab
Test_6,rust
Test_7,scab
Test_8,healthy
Test_9,rust
Test_10,healthy
Test_11,healthy
Test_12,rust
Test_13,rust
Test_14,rust
Test_15,rust
Test_16,scab
Test_17,healthy
Test_18,scab
Test_19,rust
Test_20,scab
Test_21,scab
Test_22,healthy
Test_23,scab
Test_24,healthy
Test_25,scab
Test_26,healthy
Test_27,rust
Test_28,healthy
Test_29,rust
Test_30,healthy
Test_31,scab
Test_32,healthy
Test_33,scab
Test_34,scab
Test_35,scab
Test_36,rust
Test_37,healthy
Test_38,rust
Test_39,rust
Test_40,scab
Test_41,rust
Test_42,scab
Test_43,rust
Test_44,rust
Test_45,healthy
Test_46,healthy
Test_47,rust
Test_48,rust
Test_49,healthy
Test_50,rust
Test_51,rust
Test_52,rust
Test_53,rust
Test_54,healthy
Test_55,healthy
Test_56,scab
Test_57,rust
Test_58,scab
Test_59,scab
Test_60,scab
Test_61,healthy
Test_62,rust
Test_63,scab
Test_64,scab
Test_65,rust
Test_66,healthy
Test_67,rust
Test_68,rust
Test_69,rust
Test_70,scab
Test_71,rust
Test_72,scab
Test_73,scab
Test_74,healthy
Test_75,healthy
Test_76,healthy
Test_77,rust
Test_78,scab
Test_79,rust
Test_80,rust
Test_81,healthy
Test_82,rust
Test_83,scab
Test_84,rust
Test_85,healthy
Test_86,rust
Test_87,healthy
Test_88,rust
Test_89,rust
Test_90,rust
Test_91,scab
Test_92,scab
Test_93,healthy
Test_94,healthy
Test_95,rust
Test_96,scab
Test_97,rust
Test_98,rust
Test_99,scab
Test_100,scab
Test_101,rust
Test_102,scab
Test_103,rust
Test_104,scab
Test_105,scab
Test_106,rust
Test_107,scab
Test_108,scab
Test_109,healthy
Test_110,healthy
Test_111,healthy
Test_112,scab
Test_113,rust
Test_114,rust
Test_115,healthy
Test_116,rust
Test_117,rust
Test_118,rust
Test_119,healthy
Test_120,scab
Test_121,healthy
Test_122,healthy
Test_123,healthy
Test_124,scab
Test_125,rust
Test_126,healthy
Test_127,scab
Test_128,rust
Test_129,rust
Test_130,scab
Test_131,scab
Test_132,healthy
Test_133,scab
Test_134,rust
Test_135,rust
Test_136,scab
Test_137,rust
Test_138,rust
Test_139,healthy
Test_140,rust
Test_141,scab
Test_142,rust
Test_143,rust
Test_144,rust
Test_145,scab
Test_146,rust
Test_147,rust
Test_148,healthy
Test_149,rust
Test_150,healthy
Test_151,healthy
Test_152,healthy
Test_153,rust
Test_154,rust
Test_155,scab
Test_156,healthy
Test_157,rust
Test_158,scab
Test_159,healthy
Test_160,scab
Test_161,rust
Test_162,scab
Test_163,rust
Test_164,rust
Test_165,scab
Test_166,rust
Test_167,healthy
Test_168,scab
Test_169,scab
Test_170,rust
Test_171,healthy
Test_172,rust
Test_173,rust
Test_174,scab
Test_175,scab
Test_176,rust
Test_177,scab
Test_178,scab
Test_179,rust
Test_180,scab
Test_181,scab
Test_182,rust
Test_183,healthy
Test_184,rust
Test_185,healthy
Test_186,healthy
Test_187,scab
Test_188,healthy
Test_189,healthy
Test_190,scab
Test_191,rust
Test_192,scab
Test_193,healthy
Test_194,healthy
Test_195,scab
Test_196,rust
Test_197,scab
Test_198,scab
Test_199,healthy
Test_200,healthy
Test_201,scab
Test_202,scab
Test_203,healthy
Test_204,rust
Test_205,scab
Test_206,scab
Test_207,scab
Test_208,healthy
Test_209,rust
Test_210,scab
Test_211,rust
Test_212,rust
Test_213,rust
Test_214,healthy
Test_215,scab
Test_216,rust
Test_217,scab
Test_218,rust
Test_219,rust
Test_220,scab
Test_221,scab
Test_222,healthy
Test_223,healthy
Test_224,healthy
Test_225,healthy
Test_226,rust
Test_227,rust
Test_228,healthy
Test_229,healthy
Test_230,scab
Test_231,scab
Test_232,rust
Test_233,rust
Test_234,scab
Test_235,rust
Test_236,rust
Test_237,healthy
Test_238,scab
Test_239,scab
Test_240,rust
Test_241,scab
Test_242,scab
Test_243,healthy
Test_244,healthy
Test_245,healthy
Test_246,scab
Test_247,scab
Test_248,rust
Test_249,rust
Test_250,healthy
Test_251,scab
Test_252,healthy
Test_253,rust
Test_254,scab
Test_255,rust
Test_256,scab
Test_257,rust
Test_258,rust
Test_259,healthy
Test_260,scab
Test_261,healthy
Test_262,healthy
Test_263,healthy
Test_264,rust
Test_265,rust
Test_266,scab
Test_267,healthy
Test_268,scab
Test_269,scab
Test_270,scab
Test_271,healthy
Test_272,rust
Test_273,healthy
Test_274,healthy
Test_275,scab
Test_276,scab
Test_277,scab
Test_278,scab
Test_279,rust
Test_280,scab
Test_281,scab
Test_282,scab
Test_283,scab
Test_284,scab
Test_285,healthy
Test_286,scab
Test_287,healthy
Test_288,scab
Test_289,scab
Test_290,scab
Test_291,rust
Test_292,healthy
Test_293,rust
Test_294,scab
Test_295,scab
Test_296,healthy
Test_297,scab
Test_298,scab
Test_299,healthy
Test_300,healthy
Test_301,healthy
Test_302,scab
Test_303,scab
Test_304,scab
Test_305,scab
Test_306,rust
Test_307,healthy
Test_308,rust
Test_309,rust
Test_310,healthy
Test_311,healthy
Test_312,scab
Test_313,scab
Test_314,healthy
Test_315,healthy
Test_316,rust
Test_317,rust
Test_318,healthy
Test_319,scab
Test_320,rust
Test_321,scab
Test_322,rust
Test_323,healthy
Test_324,rust
Test_325,scab
Test_326,scab
Test_327,scab
Test_328,scab
Test_329,scab
Test_330,scab
Test_331,healthy
Test_332,healthy
Test_333,healthy
Test_334,healthy
Test_335,healthy
Test_336,rust
Test_337,healthy
Test_338,healthy
Test_339,scab
Test_340,rust
Test_341,healthy
Test_342,healthy
Test_343,scab
Test_344,rust
Test_345,rust
Test_346,scab
Test_347,rust
Test_348,scab
Test_349,scab
Test_350,rust
Test_351,scab
Test_352,healthy
Test_353,healthy
Test_354,rust
Test_355,rust
Test_356,healthy
Test_357,healthy
Test_358,scab
Test_359,scab
Test_360,scab
Test_361,healthy
Test_362,scab
Test_363,healthy
Test_364,rust
Test_365,rust
Test_366,rust
Test_367,rust
Test_368,scab
Test_369,scab
Test_370,scab
Test_371,scab
Test_372,scab
Test_373,scab
Test_374,healthy
Test_375,scab
Test_376,healthy
Test_377,rust
Test_378,scab
Test_379,scab
Test_380,healthy
Test_381,healthy
Test_382,scab
Test_383,healthy
Test_384,healthy
Test_385,healthy
Test_386,scab
Test_387,scab
Test_388,healthy
Test_389,scab
Test_390,scab
Test_391,rust
Test_392,rust
Test_393,scab
Test_394,healthy
Test_395,scab
Test_396,scab
Test_397,scab
Test_398,scab
Test_399,healthy
Test_400,rust
Test_401,rust
Test_402,scab
Test_403,scab
Test_404,rust
Test_405,scab
Test_406,scab
Test_407,scab
Test_408,scab
Test_409,rust
Test_410,scab
Test_411,healthy
Test_412,scab
Test_413,healthy
Test_414,scab
Test_415,rust
Test_416,scab
Test_417,rust
Test_418,healthy
Test_419,rust
Test_420,rust
Test_421,scab
Test_422,scab
Test_423,rust
Test_424,scab
Test_425,rust
Test_426,healthy
Test_427,scab
Test_428,scab
Test_429,scab
Test_430,rust
Test_431,healthy
Test_432,healthy
Test_433,scab
Test_434,scab
Test_435,scab
Test_436,rust
Test_437,scab
Test_438,healthy
Test_439,rust
Test_440,healthy
Test_441,scab
Test_442,scab
Test_443,healthy
Test_444,healthy
Test_445,scab
Test_446,rust
Test_447,healthy
Test_448,rust
Test_449,rust
Test_450,rust
Test_451,healthy
Test_452,healthy
Test_453,scab
Test_454,scab
Test_455,scab
Test_456,rust
Test_457,scab
Test_458,scab
Test_459,rust
Test_460,healthy
Test_461,scab
Test_462,rust
Test_463,scab
Test_464,rust
Test_465,rust
Test_466,scab
Test_467,scab
Test_468,rust
Test_469,rust
Test_470,scab
Test_471,healthy
Test_472,healthy
Test_473,healthy
Test_474,rust
Test_475,scab
Test_476,scab
Test_477,rust
Test_478,scab
Test_479,healthy
Test_480,scab
Test_481,healthy
Test_482,scab
Test_483,rust
Test_484,scab
Test_485,healthy
Test_486,healthy
Test_487,scab
Test_488,scab
Test_489,rust
Test_490,rust
Test_491,rust
Test_492,rust
Test_493,healthy
Test_494,rust
Test_495,scab
Test_496,rust
Test_497,healthy
Test_498,healthy
Test_499,healthy
Test_500,rust
Test_501,healthy
Test_502,healthy
Test_503,healthy
Test_504,healthy
Test_505,healthy
Test_506,scab
Test_507,healthy
Test_508,rust
Test_509,rust
Test_510,scab
Test_511,rust
Test_512,rust
Test_513,healthy
Test_514,scab
Test_515,rust
Test_516,healthy
Test_517,scab
Test_518,scab
Test_519,scab
Test_520,scab
Test_521,healthy
Test_522,rust
Test_523,healthy
Test_524,healthy
Test_525,rust
Test_526,healthy
Test_527,rust
Test_528,healthy
Test_529,scab
Test_530,scab
Test_531,scab
Test_532,healthy
Test_533,healthy
Test_534,scab
Test_535,scab
Test_536,scab
Test_537,rust
Test_538,scab
Test_539,rust
Test_540,healthy
Test_541,rust
Test_542,healthy
Test_543,rust
Test_544,rust
Test_545,scab
Test_546,healthy
Test_547,rust
Test_548,rust
Test_549,healthy
Test_550,scab
Test_551,rust
Test_552,rust
Test_553,scab
Test_554,healthy
Test_555,rust
Test_556,rust
Test_557,scab
Test_558,rust
Test_559,rust
Test_560,healthy
Test_561,scab
Test_562,healthy
Test_563,scab
Test_564,scab
Test_565,healthy
Test_566,rust
Test_567,scab
Test_568,rust
Test_569,healthy
Test_570,scab
Test_571,scab
Test_572,scab
Test_573,healthy
Test_574,scab
Test_575,rust
Test_576,scab
Test_577,rust
Test_578,healthy
Test_579,rust
Test_580,healthy
Test_581,healthy
Test_582,healthy
Test_583,healthy
Test_584,healthy
